State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2016,4863300,25886,532.3,407,8.4,1916,39.4,4686,96.4,18877,388.2,143362,2947.8,34065,700.5,97574,2006.3,11723,241.1,169248,3480.106101,East South Central
Alaska,2016,741894,5966,804.2,52,7,1053,141.9,850,114.6,4011,540.6,24876,3353,4053,546.3,17766,2394.7,3057,412.1,30842,4157.197659,Pacific
Arizona,2016,6931071,32583,470.1,380,5.5,3290,47.5,7055,101.8,21858,315.4,206432,2978.4,37736,544.4,150275,2168.1,18421,265.8,239015,3448.456956,Mountain
Arkansas,2016,2988248,16461,550.9,216,7.2,2143,71.7,2120,70.9,11982,401,97673,3268.6,23771,795.5,66747,2233.6,7155,239.4,114134,3819.428642,West South Central
California,2016,39250017,174796,445.3,1930,4.9,13702,34.9,54789,139.6,104375,265.9,1002070,2553,188304,479.8,637010,1623,176756,450.3,1176866,2998.383415,Pacific
Colorado,2016,5540545,18983,342.6,204,3.7,3555,64.2,3528,63.7,11696,211.1,151850,2740.7,23903,431.4,108336,1955.3,19611,354,170833,3083.324835,Mountain
Connecticut,2016,3576452,8123,227.1,78,2.2,763,21.3,2703,75.6,4579,128,64664,1808,10045,280.9,47512,1328.5,7107,198.7,72787,2035.173406,New England
Delaware,2016,952065,4844,508.8,56,5.9,308,32.4,1359,142.7,3121,327.8,26334,2766,5023,527.6,19791,2078.7,1520,159.7,31178,3274.776407,South Atlantic
District of Columbia,2016,681170,8214,1205.9,139,20.4,532,78.1,3480,510.9,4063,596.5,32716,4802.9,2361,346.6,27382,4019.8,2973,436.5,40930,6008.779013,South Atlantic
Florida,2016,20612439,88700,430.3,1111,5.4,7598,36.9,20175,97.9,59816,290.2,553812,2686.8,100325,486.7,410352,1990.8,43135,209.3,642512,3117.108072,South Atlantic
Georgia,2016,10310371,40990,397.6,681,6.6,3509,34,12205,118.4,24595,238.5,309770,3004.5,63344,614.4,219625,2130.1,26801,259.9,350760,3402.011431,South Atlantic
Hawaii,2016,1428557,4417,309.2,35,2.5,619,43.3,994,69.6,2769,193.8,42753,2992.7,6017,421.2,31082,2175.8,5654,395.8,47170,3301.93335,Pacific
Idaho,2016,1683140,3876,230.3,49,2.9,719,42.7,213,12.7,2895,172,29357,1744.2,6318,375.4,20962,1245.4,2077,123.4,33233,1974.464394,Mountain
Illinois,2016,12801539,55854,436.3,1054,8.2,4908,38.3,17827,139.3,32065,250.5,262306,2049,47989,374.9,194407,1518.6,19910,155.5,318160,2485.326178,East North Central
Indiana,2016,6633053,26845,404.7,439,6.6,2501,37.7,7330,110.5,16575,249.9,171759,2589.4,34097,514,122931,1853.3,14731,222.1,198604,2994.156688,East North Central
Iowa,2016,3134693,9110,290.6,71,2.3,1247,39.8,1148,36.6,6644,212,65391,2086,15030,479.5,45378,1447.6,4983,159,74501,2376.660171,West North Central
Kansas,2016,2907289,11060,380.4,111,3.8,1312,45.1,1671,57.5,7966,274,78367,2695.5,14364,494.1,57066,1962.9,6937,238.6,89427,3075.958393,West North Central
Kentucky,2016,4436974,10308,232.3,260,5.9,1641,37,3369,75.9,5038,113.5,97158,2189.7,20834,469.6,66438,1497.4,9886,222.8,107466,2422.056113,East South Central
Louisiana,2016,4681666,26502,566.1,554,11.8,1816,38.8,5576,119.1,18556,396.4,154386,3297.7,34667,740.5,109380,2336.3,10339,220.8,180888,3863.752775,West South Central
Maine,2016,1331479,1648,123.8,20,1.5,412,30.9,266,20,950,71.3,21912,1645.7,4003,300.6,17134,1286.8,775,58.2,23560,1769.460878,New England
Maryland,2016,6016447,28400,472,481,8,1756,29.2,10289,171,15874,263.8,137445,2284.5,24692,410.4,100919,1677.4,11834,196.7,165845,2756.527233,South Atlantic
Massachusetts,2016,6811779,25677,376.9,134,2,2128,31.2,5365,78.8,18050,265,106339,1561.1,19193,281.8,79088,1161,8058,118.3,132016,1938.054655,New England
Michigan,2016,9928300,45572,459,598,6,7125,71.8,7120,71.7,30729,309.5,189620,1909.9,39568,398.5,129876,1308.1,20176,203.2,235192,2368.905049,East North Central
Minnesota,2016,5519952,13394,242.6,101,1.8,2348,42.5,3728,67.5,7217,130.7,117756,2133.3,18606,337.1,90422,1638.1,8728,158.1,131150,2375.926457,West North Central
Mississippi,2016,2988726,8383,280.5,238,8,1277,42.7,2397,80.2,4471,149.6,82732,2768.1,23354,781.4,55054,1842.1,4324,144.7,91115,3048.623393,East South Central
Missouri,2016,6093000,31644,519.4,537,8.8,2554,41.9,6570,107.8,21983,360.8,170549,2799.1,31710,520.4,120544,1978.4,18295,300.3,202193,3318.447399,West North Central
Montana,2016,1042520,3840,368.3,36,3.5,578,55.4,266,25.5,2960,283.9,27976,2683.5,3934,377.4,21299,2043,2743,263.1,31816,3051.835936,Mountain
Nebraska,2016,1907116,5550,291,49,2.6,994,52.1,946,49.6,3561,186.7,43163,2263.3,6444,337.9,31994,1677.6,4725,247.8,48713,2554.275671,West North Central
Nevada,2016,2940058,19936,678.1,224,7.6,1733,58.9,6340,215.6,11639,395.9,76047,2586.6,18850,641.1,44017,1497.1,13180,448.3,95983,3264.663486,Mountain
New Hampshire,2016,1334795,2637,197.6,17,1.3,582,43.6,427,32,1611,120.7,20194,1512.9,2963,222,16360,1225.7,871,65.3,22831,1710.449919,New England
New Jersey,2016,8944469,21914,245,372,4.2,1453,16.2,8984,100.4,11105,124.2,138152,1544.6,25284,282.7,101540,1135.2,11328,126.6,160066,1789.552851,Mid Atlantic
New Mexico,2016,2081015,14619,702.5,139,6.7,1526,73.3,2737,131.5,10217,491,81931,3937.1,17281,830.4,52907,2542.4,11743,564.3,96550,4639.562906,Mountain
New York,2016,19745289,74285,376.2,630,3.2,6260,31.7,22316,113,45079,228.3,305181,1545.6,39821,201.7,250968,1271,14392,72.9,379466,1921.805247,Mid Atlantic
North Carolina,2016,10146788,37769,372.2,678,6.7,2849,28.1,9336,92,24906,245.5,277765,2737.5,72082,710.4,190377,1876.2,15306,150.8,315534,3109.693432,South Atlantic
North Dakota,2016,757952,1903,251.1,15,2,342,45.1,181,23.9,1365,180.1,17402,2295.9,3243,427.9,12195,1608.9,1964,259.1,19305,2546.99506,West North Central
Ohio,2016,11614373,34877,300.3,654,5.6,5589,48.1,12523,107.8,16111,138.7,299357,2577.5,66883,575.9,212807,1832.3,19667,169.3,334234,2877.76189,East North Central
Oklahoma,2016,3923561,17648,449.8,245,6.2,2039,52,3162,80.6,12202,311,117037,2982.9,29103,741.7,75779,1931.4,12155,309.8,134685,3432.723488,West South Central
Oregon,2016,4093465,10830,264.6,113,2.8,1721,42,2278,55.6,6718,164.1,121345,2964.4,16866,412,91286,2230,13193,322.3,132175,3228.927083,Pacific
Pennsylvania,2016,12784227,40447,316.4,661,5.2,4433,34.7,12326,96.4,23027,180.1,222795,1742.7,35520,277.8,174228,1362.8,13047,102.1,263242,2059.115502,Mid Atlantic
Rhode Island,2016,1056426,2524,238.9,29,2.7,442,41.8,540,51.1,1513,143.2,20058,1898.7,3788,358.6,14674,1389,1596,151.1,22582,2137.584649,New England
South Carolina,2016,4961119,24896,501.8,366,7.4,2387,48.1,4035,81.3,18108,365,160928,3243.8,32976,664.7,114032,2298.5,13920,280.6,185824,3745.606586,South Atlantic
South Dakota,2016,865454,3621,418.4,27,3.1,509,58.8,272,31.4,2813,325,17141,1980.6,3000,346.6,12639,1460.4,1502,173.6,20762,2398.9721,West North Central
Tennessee,2016,6651194,42097,632.9,486,7.3,2714,40.8,7813,117.5,31084,467.3,189835,2854.1,40312,606.1,134404,2020.7,15119,227.3,231932,3487.073148,East South Central
Texas,2016,27862596,121042,434.4,1478,5.3,13367,48,33317,119.6,72880,261.6,768947,2759.8,148740,533.8,551151,1978.1,69056,247.8,889989,3194.207029,West South Central
Utah,2016,3051217,7407,242.8,72,2.4,1520,49.8,1541,50.5,4274,140.1,90058,2951.5,12836,420.7,67834,2223.2,9388,307.7,97465,3194.299193,Mountain
Vermont,2016,624594,989,158.3,14,2.2,178,28.5,106,17,691,110.6,10602,1697.4,2103,336.7,8217,1315.6,282,45.1,11591,1855.765505,New England
Virginia,2016,8411808,18302,217.6,484,5.8,2737,32.5,4803,57.1,10278,122.2,156412,1859.4,20018,238,126606,1505.1,9788,116.4,174714,2077.00889,South Atlantic
Washington,2016,7288000,22023,302.2,195,2.7,3077,42.2,5651,77.5,13100,179.7,254653,3494.1,49180,674.8,173187,2376.3,32286,443,276676,3796.322722,Pacific
West Virginia,2016,1831102,6557,358.1,81,4.4,657,35.9,720,39.3,5099,278.5,37487,2047.2,9301,507.9,25677,1402.3,2509,137,44044,2405.327502,South Atlantic
Wisconsin,2016,5778708,17679,305.9,229,4,1979,34.2,4706,81.4,10765,186.3,111720,1933.3,19425,336.1,82337,1424.8,9958,172.3,129399,2239.23756,East North Central
Wyoming,2016,585501,1430,244.2,20,3.4,205,35,59,10.1,1146,195.7,11460,1957.3,1771,302.5,8889,1518.2,800,136.6,12890,2201.533388,Mountain